カテゴリ	サブカテゴリ	質問	回答																															
プログラミング	主要プログラミング言語の熟練度	経験のある言語（サーバーサイド）を選択してください。	Java	Kotlin	Scala	Node.js	Ruby	PHP	Python	Go	Rust	Elixir																						
プログラミング	正規表現	正規表現を使った具体的な用途は何ですか？	単純な文字列検索	ログファイルから特定の情報（例: エラーメッセージ）を抽出	入力フォームのバリデーション（例: メールアドレス、電話番号の形式チェック）	大量のテキストデータからパターンに基づいてデータを抽出・変換	複雑なテキスト処理（例: 複数条件を組み合わせた検索や置換）																											
プログラミング	正規表現	正規表現を使ったテキスト抽出で、どのようなデータを抽出した経験がありますか？	簡単な文字列抽出（例: URLやメールアドレス）	特定のパターンに基づいて複数のフィールドを抽出（例: 日付、ID番号）	複雑なパターンに基づいて、複数の要素を同時に抽出（例: 一文から日付と数量を抽出）	入れ子になった構造から情報を抽出（例: HTMLやJSONからデータを抽出）																												
フレームワーク・ライブラリ	主要フレームワークの熟練度（例: Laravel, Django, Spring Boot, Express.js）	経験のある言語（サーバーサイド）で利用したフレームワークを選択してください。	Spring Framework（Spring Boot）	Play Framework	Apache Struts	Quarkus	Ktor	Spring Boot（Kotlin対応）	Play Framework	Akka	Express.js	NestJS	Fastify	Hapi.js	Ruby on Rails	Sinatra	Hanami	Laravel	Symfony	Codeigniter	CakePHP	Zend Framework（Laminas）	Django	Flask	FastAPI	Gin	Echo	Fiber	Actix Web	Rocket	Warp	Axum	Phoenix	Nerves
フレームワーク・ライブラリ	フレームワークのルーティング、ミドルウェア、テンプレートエンジンなどの活用	得意なフレームワークで、経験のある機能を選択してください。	 ルーティング（URL へのリクエストを適切なコントローラーやハンドラーに振り分ける機能）	ミドルウェア（リクエスト・レスポンスの処理をフレームワークの前後で制御）	テンプレートエンジン（フロントエンドのビューを動的に生成）	DI（依存性注入）（コンストラクタインジェクション、サービスコンテナの活用など）	ORM（オブジェクト・リレーショナル・マッピング）	バリデーション（ユーザー入力のデータ検証、カスタムルールの作成など）																										
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	フレームワークを拡張してカスタム機能を作成した経験はありますか？	はい	いいえ																														
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	フレームワークの拡張を行った目的は何ですか？	小規模な機能追加（例: ログ出力やエラーハンドリングの強化）	フレームワークの設計思想を変更するような大きな機能追加（例: ミドルウェア、ライフサイクルの変更）	外部ライブラリやAPIの統合（例: サードパーティの認証システム、データベース接続の抽象化）	既存機能の改善や最適化（例: パフォーマンス向上、バグ修正）																												
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	自作のフレームワークやライブラリを開発したことはありますか？	はい	いいえ																														
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	プロジェクトのライブラリ更新を定期的に行う運用をしたことがありますか？	はい	いいえ																														
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	フレームワークやライブラリの導入に関して、開発メンバーの合意を取るプロセスを経験したことがありますか？	はい	いいえ																														
フレームワーク・ライブラリ	フレームワークの拡張やカスタマイズの実践	プロジェクトの技術スタックを変更する提案をしたことがありますか？	はい	いいえ																														
データベース	RDBの利用	経験のあるRDB（リレーショナルデータベース）を選択してください。	MySQL	MariaDB	PostgreSQL	Oracle	SQL Server																											
データベース	RDBの利用	クラウドのマネージドサービスにおいて、経験のあるRDB（リレーショナルデータベース）を選択してください。	Amazon RDS	Amazon Aurora	Google Cloud SQL	Google Cloud AlloyDB	Google Cloud Spanner	Azure SQL Database																										
データベース	SQLクエリ（SELECT、INSERT、UPDATE、DELETE）作成	SQLクエリを、業務で使用したことがありますか？	基本的なSELECT（データ取得）	データ挿入（INSERT）	データ更新（UPDATE）	データ削除（DELETE）	複雑な結合（JOIN）やサブクエリを含むSELECT	トランザクション管理（BEGIN、COMMIT、ROLLBACK）																										
データベース	SQLクエリ（SELECT、INSERT、UPDATE、DELETE）作成	複数のテーブルを結合してクエリを実行した経験はありますか？	単純なINNER JOIN	LEFT JOINやRIGHT JOINを使用した	複数のJOIN（例えば、INNER JOINとLEFT JOINの組み合わせ）	複雑な自己結合（SELF JOIN）	UNIONやUNION ALLを使った複数の結果セットの統合																											
データベース	SQLクエリ（SELECT、INSERT、UPDATE、DELETE）作成	GROUP BY、HAVING、集計関数（SUM, COUNT, AVG など）を使ってデータを集計した経験がありますか？	はい	いいえ																														
データベース	SQLクエリ（SELECT、INSERT、UPDATE、DELETE）作成	集計関数（SUM, COUNT, AVG など）をどのような目的で利用しましたか？	基本的な集計（例えば、売上の合計、件数のカウント）	グループごとに集計を行い、詳細なデータ分析（例えば、地域別売上や月別トラフィック）	複数の集計関数を組み合わせた複雑な集計（例えば、平均値と合計を同時に求める）																													
データベース	インデックスやクエリの最適化	EXPLAINを使ってSQLクエリの実行計画を確認したことがありますか？	はい	いいえ																														
データベース	インデックスやクエリの最適化	実行計画を確認して、どのような問題を解決しましたか？	単純なクエリの実行速度を向上させた	複雑なクエリでのパフォーマンスボトルネックを特定した	インデックスの適用有無を確認して、パフォーマンスを最適化した	不要なフルテーブルスキャンの回避を試みた	クエリのリソース消費（CPU、メモリ）を最適化した																											
データベース	インデックスやクエリの最適化	インデックスを活用して、パフォーマンス改善を行った経験がありますか？	はい	いいえ																														
データベース	インデックスやクエリの最適化	インデックスの最適化を行った経験はありますか？	はい	いいえ																														
データベース	データベース設計	システムを新規に構築する際に、RDB（リレーショナルデータベース）のテーブル定義書を作成した経験はありますか？	はい	いいえ																														
データベース	データベース設計	テーブル定義書を作成する際、どのような要素を含めましたか？	NOT NULL制約	DEFAULT値	主キー	UNIQUEキー	外部キー	インデックス	JSON型	ENUM型	ZEROFILL	UNSIGNED																						
データベース	データベース設計	テーブル定義書を作成する際、どの程度のスケーラビリティを考慮しましたか？	初期のデータ量や利用頻度を考慮して設計した	将来的なデータの増加に対応するために、パーティショニングやインデックス戦略を検討し設計した	高可用性やバックアップ戦略を意識した設計を行った	クラウド環境や分散システムを前提とした設計を行った																												
データベース	データベース設計	パフォーマンスのために意図的に非正規化した設計をしたことがありますか？	はい	いいえ																														
データベース	データベース設計	大規模なシステムや高トラフィックなアプリケーションにおいて、RDB（リレーショナルデータベース）のパーティショニングまたはシャーディングを行った経験がありますか？	はい	いいえ																														
データベース	トランザクション管理とACID特性の理解	ACID特性（Atomicity, Consistency, Isolation, Durability）を理解し、RDB（リレーショナルデータベース）のトランザクション設計を行った経験がありますか？	はい	いいえ																														
データベース	データベースのバックアップとリストア	RDB（リレーショナルデータベース）のデータのバックアップ・リストアを設計した経験がありますか？	はい	いいえ																														
データベース	NoSQLデータベースの利用	経験のあるNoSQLデータベースを選択してください。	MongoDB	CouchDB	Couchbase	RavenDB	Apache Cassandra	Apache HBase	Redis	Neo4j	ArangoDB																							
データベース	NoSQLデータベースの利用	クラウドのマネージドサービスにおいて、経験のあるNoSQLデータベースを選択してください。	Amazon DynamoDB	Amazon Neptune	Google Cloud Datastore	Goolge Cloud Firestore	Google Bigtable	Azure Table Storage	Azure Cosmos DB																									
データベース	NoSQLデータベースの利用	キー・バリュー型ストア（Redis, DynamoDB など）において、適切なキー設計をしたことがありますか？	はい	いいえ																														
データベース	NoSQLデータベースの利用	ドキュメント指向データベース（MongoDBなど）において、データ構造の設計をしたことがありますか？	はい	いいえ																														
データベース	NoSQLデータベースの利用	カラム指向型データベース（Apache Cassandra, HBaseなど）において、読み取り速度を考慮してカラムファミリーを設計をしたことがありますか？	はい	いいえ																														
データベース	NoSQLデータベースの利用	グラフデータベース（Neo4j など）において、ノードとエッジの設計を最適化した経験はありますか？	はい	いいえ																														
データベース	分散システムの設計	CAP定理を理解し、分散システムにおけるNoSQLデータベースの設計を行った経験がありますか？（例えば、整合性、可用性、分断耐性のトレードオフを考慮した設計）	はい	いいえ																														
データベース	データ移行	旧システムからデータベースのデータ移行の設計経験はありますか？	はい	いいえ																														
データベース	データ移行	どのような手段でデータ移行を行いましたか？	データベースのエクスポート/インポート	ETLツールを使用（AWS Glue, Talend, Apache NiFi など）	データベースのレプリケーション	クラウドのデータ移行ツールを使用	アプリケーションレイヤーでの移行																											
API開発	RESTful APIの設計・実装	RESTful APIの実装経験がありますか？	はい	いいえ																														
API開発	RESTful APIの設計・実装	RESTful APIの設計経験がありますか？	はい	いいえ																														
API開発	RESTful APIの設計・実装	RESTful APIの開発において、GET、POST、PUT、DELETEなどのHTTPメソッドを適切に使い分けて設計した経験がありますか？	はい	いいえ																														
API開発	エラーハンドリングとレスポンスコードの設計	RESTful APIの開発において、HTTPステータスコード（200, 201, 400, 404, 500 など）を適切に使い分け、エラーハンドリングを設計した経験がありますか？	はい	いいえ																														
API開発	認証・認可の実装（OAuth, JWTなど）	CORS（クロスオリジンリソースシェアリング）に関して理解し、実際に設定した経験がありますか？	はい	いいえ																														
API開発	認証・認可の実装（OAuth, JWTなど）	クエリパラメータやヘッダー、ボディを使用して、データのフィルタリングやページネーションを設計した経験がありますか？	はい	いいえ																														
API開発	APIドキュメント（Swagger/OpenAPI）作成	APIのドキュメンテーションツール（Swagger、OpenAPIなど）を使って、APIドキュメントを作成した経験がありますか？	はい	いいえ																														
API開発	gRPCの設計・実装	gRPCを使ったAPIの設計・実装経験がありますか？	はい	いいえ																														
API開発	gRPCの設計・実装	Protocol Buffers（protobuf）を使って、メッセージ定義を作成した経験がありますか？	はい	いいえ																														
API開発	gRPCの設計・実装	gRPCのストリーミング機能（クライアントストリーミング／サーバーストリーミング／双方向ストリーミング）を実装した経験がありますか？	はい	いいえ																														
API開発	gRPCの設計・実装	gRPCサーバーのパフォーマンスチューニング（同時接続数やスレッドプール設定）を行った経験がありますか	はい	いいえ																														
セキュリティ（認証・認可以外）	OWASP Top 10の脆弱性に対する理解と実践	XSS（クロスサイトスクリプティング）対策を実装した経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	CSRFトークンの実装	CSRF（クロスサイトリクエストフォージェリ）対策を実装した経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	インジェクション	SQLインジェクション対策を実施した経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	セッション管理とクッキーの安全な取り扱い	セッション管理のセキュリティ対策（セッション固定攻撃、セッションハイジャック対策）を行った経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	セッション管理とクッキーの安全な取り扱い	セキュリティ対策としてWAF（Web Application Firewall）を導入・設定した経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	セキュリティ監査の実施・対応	Webアプリケーションのセキュリティ診断（ペネトレーションテストや脆弱性診断）を行った経験はありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	HTTPS/TLSの設定	HTTPS/TLSの設定でセキュリティ対策を行なった経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	脆弱性診断	外部の第三者機関による脆弱性診断を受けて、システムの修正や改善を行った経験がありますか？	はい	いいえ																														
セキュリティ（認証・認可以外）	脆弱性診断	どのような種類の脆弱性診断を受けて、対応までされましたか？	Webアプリケーション診断（SQLインジェクション、XSS など）	ネットワーク診断（ポートスキャン、ファイアウォール設定の検証 など）	クラウド環境診断（AWS Security Hub、GCP Security Command Center など）	モバイルアプリ診断（iOS/Android の脆弱性チェック）	ソースコード診断（SAST: 静的解析）	ペネトレーションテスト（ホワイトハッカーによる疑似攻撃テスト）	コンテナセキュリティ診断（Docker, Kubernetes のセキュリティチェック）	CI/CD パイプラインのセキュリティ診断																								
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	経験のあるレイヤー設計を選択してください。	MVC（Model-View-Controller）	レイヤードアーキテクチャ（Layered Architecture）	クリーンアーキテクチャ（Clean Architecture）	ヘキサゴナルアーキテクチャ（Hexagonal Architecture）																												
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	マイクロサービスアーキテクチャで設計を行なった経験がありますか？	はい	いいえ																														
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	マイクロサービスアーキテクチャの設計で、自身が行なったものを選択してください。	ドメイン駆動設計（DDD）によるサービス分割と境界の設計	RESTful API設計およびgRPC等のAPI通信設計	分散データベース設計（データの分割、整合性、CQRS）	サービス監視（Prometheus, Grafana などのツールを使用した監視設計）	CI/CDのパイプライン設計と自動化（CircleCI、GitHub Actions、Jenkins、GitLab CIなど）	サービス間通信（メッセージキュー、イベント駆動設計など）	スケーラビリティ設計（オートスケーリング、ロードバランシング）	認証・認可（OAuth 2.0, JWTなどの認証技術）																								
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	イベント駆動アーキテクチャ（Event-Driven Architecture）で設計を行なった経験がありますか？	はい	いいえ																														
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	イベント駆動アーキテクチャ（EDA）の設計で、自身が行なったものを選択してください。	イベントソーシング（Event Sourcing）の導入	コマンドとイベントの分離（CQRS）	メッセージングシステムの設計（Kafka, RabbitMQ, AWS SNS/SQS など）	イベントのスキーマ設計と管理（Avro, Protobufなど）	イベントのデータ整合性とトランザクション管理	イベント処理のリアルタイム性と遅延管理	サービス間の非同期通信設計	イベント駆動のモニタリングとデバッグ（トレーシング、ロギング）	イベントストリーム処理（Apache Flink, Kafka Streams など）																							
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	サーバーレスアーキテクチャ（Serverless Architecture）で設計を行なった経験がありますか？	はい	いいえ																														
アーキテクチャ設計	MVC、三層アーキテクチャ、マイクロサービスなどのレイヤー設計	サーバーレスアーキテクチャ（Serverless Architecture）の設計で、自身が行なったものを選択してください。	サーバーレスプラットフォーム（AWS Lambda, Azure Functions, Google Cloud Functions）の選定・設計	関数のデプロイメントとバージョン管理	イベントトリガー（S3, SNS, DynamoDB Streams など）によるアクション設計	サーバーレスデータベース（Amazon Aurora Serverless, DynamoDBなど）の選定と設計	API Gateway や同様のサービスを使ったAPI設計	サーバーレスアーキテクチャのモニタリングとロギング（AWS CloudWatch, Google Cloud Monitoringなど）	サーバーレス環境でのセキュリティ（認証、認可、API Gatewayのセキュリティ設計など）	オートスケーリングの設計とリソース管理	サーバーレス環境におけるコスト最適化	非同期処理の設計（SQS, SNS, EventBridgeなど）	サーバーレスアーキテクチャにおけるパフォーマンス最適化（Cold Start問題への対策など）																					
アーキテクチャ設計	デザインパターンの実践	デザインパターン（例：Singleton、Factory、Observer）を理解し、実際に適用した経験がありますか？	はい	いいえ																														
アーキテクチャ設計	デザインパターンの実践	実践したことのあるデザインパターンを選択してください。	シングルトンパターン（Singleton Pattern）	ファクトリーパターン（Factory Method Pattern）	抽象ファクトリーパターン（Abstract Factory Pattern）	ビルダーパターン（Builder Pattern）	プロトタイプパターン（Prototype Pattern）	デコレーターパターン（Decorator Pattern）	ストラテジーパターン（Strategy Pattern）	テンプレートメソッドパターン（Template Method Pattern）	コマンドパターン（Command Pattern）	状態パターン（State Pattern）	オブザーバーパターン（Observer Pattern）	アダプターパターン（Adapter Pattern）	ファサードパターン（Facade Pattern）	コンポジットパターン（Composite Pattern）	代理パターン（Proxy Pattern）																	
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	キューを使用した非同期処理の設計経験がありますか？	はい	いいえ																														
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	経験のあるキューのミドルウェアを選択してください。	RabbitMQ	Apache ActiveMQ																														
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	クラウドのマネージドサービスにおいて、経験のあるキューのミドルウェアを選択してください。	AWS SQS	Google Cloud Tasks	Azure Storage Queue																													
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	メッセージングサービスを使用した非同期処理の設計経験がありますか？	はい	いいえ																														
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	経験のあるメッセージングサービスのミドルウェアを選択してください。	RabbitMQ（Pub/Subモード）	Apache Kafka																														
アーキテクチャ設計	キューやメッセージングサービスを使った非同期処理の設計	クラウドのマネージドサービスにおいて、経験のあるメッセージングサービスのミドルウェアを選択してください。	AWS SNS	Google Cloud Pub/Sub	Azure Service Bus																													
アーキテクチャ設計	認証	認証機能の設計経験がありますか？	はい	いいえ																														
アーキテクチャ設計	認証	認証機能の設計で、自身が行なったものを選択してください。	フォーム認証（ユーザー名＋パスワード）による認証	OAuth 2.0 / OpenID Connect による認証	JWT（JSON Web Token）を用いたトークンベース認証	SSO（シングルサインオン）による認証統合	ソーシャルログイン（Google, Facebook, GitHub など）による認証	パスワードレス認証（メールリンク、OTP など）	2要素認証（2FA） / 多要素認証（MFA）	API 認証（APIキー、HMAC、OAuth Bearer Token など）	セッションベース認証（Cookie や Redis によるセッション管理）	Active Directory / LDAP を用いた認証	生体認証（指紋認証、顔認証など）																					
アーキテクチャ設計	認可	認可機能の設計経験がありますか？	はい	いいえ																														
アーキテクチャ設計	認可	認可機能の設計で、自身が行なったものを選択してください。	RBAC（ロールベースアクセス制御）	ABAC（属性ベースアクセス制御）	PBAC（ポリシーベースアクセス制御：Open Policy Agent、Casbinなど）	ACL（アクセス制御リスト）を用いたアクセス管理	アプリケーション内での認可ロジック設計（ミドルウェア・ガード・サービス層など）	マイクロサービス間のアクセス制御設計（スコープ管理、サービス単位の認可など）	リソースベースのアクセス制御（ユーザーごとのデータ制限、オーナーシップ管理など）	スコープやクレーム（claims）ベースのトークン設計	サードパーティAPIとの連携における認可設計（OAuthのスコープ設計など）	APIゲートウェイでの認可設計（APIゲートウェイでの認証・認可ポリシー設定）																						
パフォーマンス・チューニング	ボトルネックを特定とコードやクエリの最適化	プロファイリングツール（Datadog、New Relic、Google Cloud Profiler、JVM Profilerなど）を使って、アプリケーションのパフォーマンスボトルネックを診断したことがありますか？	はい	いいえ																														
パフォーマンス・チューニング	ボトルネックを特定とコードやクエリの最適化	SQLクエリのパフォーマンス最適化を行ったことがありますか？	はい	いいえ																														
パフォーマンス・チューニング	ボトルネックを特定とコードやクエリの最適化	コードの最適化を行い、アプリケーションのパフォーマンスを改善した経験がありますか？	はい	いいえ																														
パフォーマンス・チューニング	負荷テストやストレステストの実践と分析	経験のある負荷テストツールを選択してください。	Apache JMeter	Gatling	Locust	k6	LoadRunner																											
パフォーマンス・チューニング	非同期処理や並列処理を活用したパフォーマンス向上	並列処理（マルチスレッド、マルチプロセス）を活用してパフォーマンス向上を実現した経験がありますか？	はい	いいえ																														
パフォーマンス・チューニング	CDNやキャッシュを利用したパフォーマンス向上	CDNを利用して、ウェブアプリケーションのパフォーマンスを向上させた経験がありますか？	はい	いいえ																														
パフォーマンス・チューニング	CDNやキャッシュを利用したパフォーマンス向上	CDNを利用して、キャッシュ戦略（例: キャッシュの期限設定、キャッシュクリア方法）を設計した経験がありますか？	はい	いいえ																														
パフォーマンス・チューニング	CDNやキャッシュを利用したパフォーマンス向上	CDNのキャッシュ戦略において経験のあるものを選択してください。	静的ファイルへの長期間のTTL設定（max-age などを使ったキャッシュ制御）	動的コンテンツに対する短いTTLの設定（APIレスポンス等）	Cache-Control / ETag / Last-Modified ヘッダーの適切な設定	アセットのバージョン管理（ハッシュやクエリパラメータによるキャッシュバスティング）	CDNキャッシュの手動・自動パージ（無効化）の運用	パスや拡張子ごとのキャッシュ設定の最適化（例：画像は長期、HTMLは短期）	エッジキャッシュの活用によるオリジンサーバー負荷分散	ログインページやユーザー別ページなどでのキャッシュ制御（パーソナライズ非対象）	CDNでのキャッシュ制御とオリジンサーバー側の設定の整合性を設計・調整した経験	キャッシュヒット率のモニタリングと改善施策の実施	特定ディレクトリ／パスごとのキャッシュ対象・非対象の設定（例：/adminはno-cache）																					
パフォーマンス・チューニング	CDNやキャッシュを利用したパフォーマンス向上	経験のあるCDNプロバイダーを選択してください。	Cloudflare	AWS CloudFront	Akamai	Fastly	Google Cloud CDN	Microsoft Azure CDN	KeyCDN	StackPath	CDN77	BunnyCDN																						
テスト	単体・結合のテストコード作成	単体テストの経験がありますか？	はい	いいえ																														
テスト	単体・結合のテストコード作成	経験のあるテストフレームワーク・ツールを選択してください	JUnit (Java)	Spock (Groovy)	Mocha (JavaScript)	Jest (JavaScript)	RSpec (Ruby)	PHPUnit (PHP)	PyTest (Python)	ScalaTest (Scala)	Goの標準テストパッケージ（testing） / Go Test Framework	xUnit (C#, .NET)	NUnit (.NET)	ExUnit (Elixir)	Rustの標準テストライブラリ（cargo test）																			
テスト	単体・結合のテストコード作成	単体テストにおいて、次の中から経験のあるものを選択してください。	モックやスタブを使った外部依存の切り離し	テスト駆動開発（TDD）の実施	疑似データやフェイクデータを使ったテスト	テストのカバレッジを確認するツールの使用	エラーハンドリングや例外処理のテスト																											
テスト	単体・結合のテストコード作成	結合テストの経験がありますか？	はい	いいえ																														
テスト	単体・結合のテストコード作成	結合テストで使用したツールやフレームワークを選択してください	Cucumber（BDDフレームワーク）	Cypress（E2Eテスト）	Puppeteer（ブラウザ自動化）	Selenium（UIテスト）	Playwright（クロスブラウザE2Eテスト）	CodeceptJS（E2E/API/UIテスト）	Postman（APIテスト）	Insomnia（APIテスト）	Swagger（API設計・テスト）																							
テスト	単体・結合のテストコード作成	結合テストにおいて、次の中から経験のあるものを選択してください。	APIの統合テスト（GET, POST, PUT, DELETE）	APIの統合テスト（GET, POST, PUT, DELETE）	データベースの結合テスト（DB接続、クエリ結果の検証）	システム全体のフローをテストするシナリオ設計	マイクロサービス間の結合テスト	サードパーティサービスとの連携テスト	テスト自動化ツールによる定期的な結合テストの実施																									
DevOps・インフラ	Linux	Linux上の操作において、経験のあるものを選択してください。	ファイル操作	プロセスの確認・停止・再起動	権限エラー対応	サーバエラー・アプリケーションエラーの原因特定	接続確認・通信トラブルの調査	サーバリソースの確認																										
DevOps・インフラ	Gitの利用	チーム開発でGitを用いたバージョン管理を行った経験はありますか？	はい	いいえ																														
DevOps・インフラ	Gitの利用	ブランチ戦略の設計に携わったことがありますか？	はい	いいえ																														
DevOps・インフラ	Gitの利用	ブランチ戦略において、経験のあるものを選択してください。	Git Flow	GitHub Flow	GitLab Flow	Trunk Based Development																												
DevOps・インフラ	Gitの利用	Gitの履歴操作において、経験のあるものを選択してください。	git rebase を使って履歴を整理した経験がある	git revert で安全に変更を打ち消した経験がある	git reset でローカルの履歴を戻したことがある	git cherry-pick で特定のコミットだけ取り込んだことがある	git reflog で過去の履歴からブランチを復旧したことがある																											
DevOps・インフラ	CI/CDパイプラインの構築	CI/CDツール（GitHub Actions、GitLab CI、CircleCIなど）を使った自動化パイプラインを構築した経験はありますか？	はい	いいえ																														
DevOps・インフラ	CI/CDパイプラインの構築	CI/CDツールで、経験のあるものを選択してください。	GitHub Actions	GitLab CI/CD	CircleCI	Jenkins	Azure Pipelines	AWS CodePipeline	Google Cloud Build																									
DevOps・インフラ	CI/CDパイプラインの構築	CI/CDに組み込んだことがあるセキュリティチェックや静的解析を選択してください。	コードのセキュリティ脆弱性の検出	依存関係の脆弱性の検出	機密情報の漏洩防止	セキュアなコーディングプラクティスの遵守	セキュリティガイドラインの自動チェック	コンテナ・イメージのセキュリティチェック	コード品質の向上																									
DevOps・インフラ	CI/CDパイプラインの構築	CI/CDパイプラインの運用後に、行なったことがあるパフォーマンス改善や最適化を選択してください。	ビルド時間の短縮（例：キャッシュ活用、ジョブの並列化）	テストの実行時間を短縮（例：テストの分割・並列化、不必要なテストの除外）	実行頻度の見直しやトリガーの最適化（例：PR単位のみ実行）	パイプラインの可視化や監視（ログ、メトリクス）を強化した	ツールや実行環境の見直しによって速度や安定性を改善																											
